CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2121,CSM,Item,3.3,Embeds Steel Stair D(Bldg B),6/20/2022,John S,
2121,CSM,Sequence,3.3,Seq3 (Area B2) T015&T016,2/1/2022,John S,
2034,CSM,Item,3.3,Sector 4 steel plate at brick,6/29/2021,John S,
2034,CSM,Item,3.4,Sector 2 steel plate at brick,5/24/2021,John S,
2121,CSM,Sequence,3.4,Seq3 (Area B2) T017,2/2/2022,John S,
2034,CSM,Item,3.4,Sector 3 steel plate at brick,5/24/2021,John S,
2034,CSM,Item,3.4,Sector 1 steel plate at brick,6/29/2021,John S,
2034,CSM,Item,3.4,Sector 6 steel plate at brick,6/29/2021,John S,
2034,CSM,Item,3.4,Sector 5 steel plate at brick,5/21/2021,John S,
2034,CSM,Item,3.5,Sector 2 CMU wall clips,10/21/2021,John S,
2034,CSM,Item,3.5,Sector 1 CMU wall clips,3/23/2021,John S,
2034,CSM,Item,3.5,Sector 2 CMU wall clips,5/20/2021,John S,
2121,CSM,Sequence,3.5,Seq3 (Area B) T018 Trailer CS61 Overwidth,2/18/2022,John S,
2121,CSM,Item,30,Steel support at green terrace roof bench(Deleted ASI 21),6/1/2022,John S,
2121,CSM,Item,32,1/4” x 6” Steel plate at parapet,10/8/2021,John S,
2121,CSM,Item,33,Galvanized grating at mechanical mezzanine at gymline C.3/7,9/15/2022,John S,
2121,CSM,Item,34,Galvanized grating at lift station at first floor mechanical room line L,9/15/2022,John S,
2121,CSM,Item,36,CMU wall clips - BLDG A,5/9/2022,John S,
2121,CSM,Item,38,Curtain wall head and sill at parapet main gym area B,2/14/2022,John S,
2121,CSM,Ticket,4,Remake B1087 - Osha Posts,5/2/2022,John S,
2038,CSM,Sequence,4,"Lots T045 - TO50, 058-060,063,065_",11/12/2021,John S,
2121,CSM,Sequence,4,Seq 4 (Area B3) T025,2/8/2022,John S,
2038,CSM,Ticket,4,"Ticket #4 - Remake missing angle braces BR7001, 7003, 7005",3/21/2022,John S,
2121,CSM,Item,41,Continuous 1/4” thk steel cap at theatre seating kneewall (exclusion28),9/15/2022,John S,
2038,CSM,Ticket,5,Ticket #5 - Bridging Angle,3/21/2022,John S,
2121,CSM,Ticket,5,Field Fix for B5025 Embed Connection,5/25/2022,John S,
2121,CSM,Sequence,5,Area A T027&T028,3/15/2022,John S,
2038,CSM,Sequence,5,,12/14/2021,John S,
2038,CSM,Sequence,5.1,Lot #T070 Truss Brace Framing Grid D thru G,12/13/2021,John S,
2121,CSM,Ticket,5.1,field fix - additional angle for precast to beam connx,5/9/2022,John S,
2038,CSM,Sequence,5.1,Lot #T066 Truss Brace Framing Grid D thru G,12/8/2021,John S,
2038,CSM,Sequence,5.1,Lot #T068 Truss Brace Framing Grid D thru G,12/9/2021,John S,
2121,CSM,Sequence,5.1,Area A T029,4/28/2022,John S,
2038,CSM,Sequence,5.1,Lot #T069 Truss Brace Framing Grid D thru G,12/10/2021,John S,
2034,CSM,Item,5.1,Sector 1 steel bent plate,5/28/2021,John S,
2121,CSM,Sequence,5.2,LOT#34 - ADDED PLATES,3/15/2022,John S,
2034,CSM,Item,5.2,Sector 4 Int OH bent plate,5/24/2021,John S,
2121,CSM,Ticket,5.2,field fix - added angles/plates (theater col. loc.),5/16/2022,John S,
2038,CSM,Sequence,5.2,T1#1A - Truss AS5012 & AS5002,10/10/2021,John S,
2034,CSM,Item,5.2,Sector 1 Int OH bent plate,5/18/2021,John S,
2034,CSM,Item,5.3,Sector 6 divider steel tube frame,2/24/2022,John S,
2038,CSM,Sequence,5.3,T1#1B - Truss AS5003 & AS5013,10/10/2021,John S,
2121,CSM,Sequence,5.3,PH-2121-365 Field Fix Plate Connection,6/1/2022,John S,
2034,CSM,Item,5.3,Sector 1 divider steel tube frame,11/2/2021,John S,
2034,CSM,Item,5.3,Sector 2 divider steel tube frame,11/15/2021,John S,
2034,CSM,Item,5.3,Sector 5 divider steel tube frame,2/1/2022,John S,
2034,CSM,Item,5.3,Sector 4 divider steel tube frame,2/24/2022,John S,
2034,CSM,Item,5.6,Sector 3 concourse OH bent plate,6/29/2021,John S,
2038,CSM,Sequence,5.6,Lot #T071 Truss Brace Framing Grid G thru L,1/14/2022,John S,
2034,CSM,Item,5.6,Sector 1 concourse OH bent plate,6/29/2021,John S,
2034,CSM,Item,5.6,Sector 2 concourse OH bent plate,6/29/2021,John S,
2034,CSM,Item,5.6,Sector 5 concourse OH bent plate,6/29/2021,John S,
2121,CSM,Sequence,6,Athletic Field T033,7/11/2022,John S,
2038,CSM,Sequence,6,Lot T085,3/29/2022,John S,
2121,CSM,Ticket,6,Rework B1088,4/25/2022,John S,
2121,CSM,Ticket,6,Field Fix for missing Embed Connection (EP130),5/23/2022,John S,
2121,CSM,Sequence,6.1,Athletic Field T039,7/19/2022,John S,
2038,CSM,Item,6.1,Sump pit grate cover and support,7/11/2022,John S,
2034,CSM,Item,6.1,Sector 2 Tube steel post,7/21/2021,John S,
2038,CSM,Sequence,6.1,Lot T106 - HSS6022 & HSS6024,2/25/2022,John S,
2034,CSM,Item,6.1,Sector 3 tube steel post,7/21/2021,John S,
2038,CSM,Item,6.2,Pit ladder (Buyout),8/15/2022,John S,
2034,CSM,Item,6.2,Sector 3 tube steel post,7/21/2021,John S,
2034,CSM,Item,6.2,Sector 2 tube steel post,7/21/2021,John S,
2034,CSM,Item,6.2,Sector 4 tube steel post,7/21/2021,John S,
2034,CSM,Item,6.5,Sector 3 steel bent plate shelf,6/29/2021,John S,
2034,CSM,Item,6.5,459,6/29/2021,John S,
2034,CSM,Item,6.6,Sector 3 club drink rail,9/2/2021,John S,
2034,CSM,Item,6.6,Sector 2 club drink rail,9/2/2021,John S,
2038,CSM,Sequence,7,Seq. 7 LotsT075 - T082,1/20/2022,John S,
2121,CSM,Ticket,7,Field Fix for Added Bent Plate per RFI#427,5/24/2022,John S,
2038,CSM,Item,7,3-liner guardrail at loading dock ramp and raised platform – BOTH SIDES,9/15/2022,John S,
2038,CSM,Item,8,Roof access ladder at hatch (Buyout),8/15/2022,John S,
2034,CSM,Item,8,Sector 2 supprt post at low wall,7/14/2021,John S,
2038,CSM,Ticket,8,Ticket #8 - Additional Bridging Angle,3/30/2022,John S,
2038,CSM,Sequence,8,Lot T094 (Need Col C8005 on 2/28),3/8/2022,John S,
2038,CSM,Sequence,9,Lots T096 - T100,3/14/2022,John S,
2038,CSM,Ticket,9,Ticket #9 - Rework B4011 - BRB Connection,3/31/2022,John S,
2121,CSM,Ticket,9,field fix - added bent plate connector for Area C&D,5/23/2022,John S,
2038,CSM,Item,9,Angle support at drink rail,6/1/2022,John S,
